0.1 0.0364074
0.105 0.0455035
0.11 0.0440139
0.115 0.0478334
0.12 0.0480147
0.125 0.0534553
0.13 0.0507799
0.135 0.0617561
0.14 0.0585756
0.145 0.0596327
0.15 0.0658296
0.155 0.0826653
0.16 0.0886412
0.165 0.0933484
0.17 0.151497
0.175 0.138845
0.18 0.150663
0.185 0.374172
0.19 0.328565
0.195 0.514676
0.2 0.607606
0.205 0.665555
0.21 0.712812
0.215 0.751527
0.22 0.77747
0.225 0.806551
0.23 0.832918
0.235 0.853978
0.24 0.875551
0.245 0.894165
0.25 0.907516
0.255 0.926294
0.26 0.941697
0.265 0.954293
0.27 0.971298
0.275 0.983086
0.28 0.993793
0.285 1.00546
0.29 1.01606
0.295 1.0257
