0.1 0.0316596
0.105 0.029434
0.11 0.0309149
0.115 0.0317792
0.12 0.0333534
0.125 0.0335863
0.13 0.0391472
0.135 0.0389958
0.14 0.0496779
0.145 0.0458485
0.15 0.0434114
0.155 0.0570471
0.16 0.0508866
0.165 0.0603611
0.17 0.066426
0.175 0.112374
0.18 0.154085
0.185 0.248913
0.19 0.460878
0.195 0.529434
0.2 0.596687
0.205 0.662819
0.21 0.710886
0.215 0.741479
0.22 0.778416
0.225 0.812794
0.23 0.832166
0.235 0.855598
0.24 0.872044
0.245 0.894307
0.25 0.908179
0.255 0.927158
0.26 0.941622
0.265 0.955662
0.27 0.949901
0.275 0.980654
0.28 0.993372
0.285 1.00492
0.29 1.01627
0.295 1.02671
